pos_x,pos_y,pos_z,enemy_x,enemy_y,enemy_z,turret_x,turret_y,x_min,y_min,x_max,y_max,body_x,body_y,body_z
67.0,39.88,152.1,91.0057144165039,8.6099214553833,282.6630554199219,2.11,-0.08,1209.2498,212.80394,1374.3496,335.8552,2.537324905395508,15.47946834564209,18.195276260375977
18.4,29.11,123.74,241.1826171875,11.8836088180542,155.41363525390625,14.7,-24.27,1744.8483,822.8997,1921.0,920.2669,-3.4130087442463264e-05,-3.5751747873291606e-06,2.6813827389560174e-06
63.26,8.03,46.25,181.51416015625,38.07258987426758,128.4243621826172,0.01,0.86,874.6296,821.1743,1019.4136,904.1196,3.092260885750875e-05,9.391508683620486e-06,-4.455627731658751e-06
39.64,39.92,45.82,268.5251159667969,8.602928161621094,213.05337524414062,5.65,0.39,1800.27,572.6358,1920.8488,679.3844,2.1511085890324466e-07,2.109420478291213e-07,-8.004125362504055e-08
121.71,8.0,278.01,183.62564086914062,8.96262264251709,220.10736083984375,133.01,4.07,882.7784,498.2428,1073.9357,630.8271,-2.393682188994717e-05,-8.270919238384522e-07,5.789651822851738e-06
223.94,39.93,68.57,183.62564086914062,8.96262264251709,220.10736083984375,357.56,0.08,950.7858,769.421,1004.8121,832.725,-5.577877345785964e-06,-1.657521693232411e-06,-1.3473616036208114e-06
228.74,12.06,152.12,208.8505096435547,7.876498699188232,257.4255676269531,357.87,-1.09,531.7742,664.8131,628.71783,745.97595,359.5665588378906,1.6455036401748657,346.43896484375
247.7,40.0,55.9,257.7964172363281,16.72533416748047,159.46705627441406,0.0,0.0,0.3739587,819.5756,242.15002,1076.7217,2.382228194619529e-05,-3.415093942749081e-06,1.3873811894882238e-06
166.96,36.81,163.39,96.11485290527344,14.118839263916016,182.33984375,285.02,-13.49,723.1132,820.6126,1359.3109,1080.0,-2.7080634026788175e-05,-2.6680581299842743e-07,-6.616745849896688e-06
86.17,40.0,177.87,191.07485961914062,22.112590789794922,194.28408813476562,0.0,0.0,718.9934,776.4728,850.2033,849.3198,3.4221811802126467e-06,9.404849379279767e-07,-1.3340209648049495e-07
236.44,8.39,185.92,288.52593994140625,8.808362007141113,46.72964096069336,359.95,-0.86,1125.1176,572.2679,1289.954,679.656,-1.0005159367665328e-08,1.5041088090583798e-06,-2.6680423204084036e-08
106.8,39.93,39.28,170.69839477539062,7.292033672332764,261.1684265136719,2.64,0.23,864.06036,929.98773,1187.6289,1068.1659,-1.3767098607786465e-05,3.7352606341301e-06,9.938456969393883e-06
124.83,39.93,118.34,63.362003326416016,23.562881469726562,98.31639099121094,354.84,-0.24,882.15765,990.637,1026.7518,1080.0,7.310435194085585e-06,9.198079169436824e-06,-1.9690154658746906e-05
157.81,7.18,275.46,199.0628204345703,6.781649112701416,245.59580993652344,109.95,-5.19,1352.1492,350.0288,1723.8655,480.38214,0.1791439950466156,355.5927734375,355.1367492675781
77.37,40.0,17.34,199.0628204345703,6.781649112701416,245.59580993652344,0.0,0.0,1730.539,898.98944,1909.266,982.3009,6.04477268240089e-09,4.5356711098065716e-07,-2.3812272047507577e-06
85.22,26.27,215.53,89.35833740234375,9.278205871582031,156.20603942871094,175.97,0.39,1591.609,675.28033,1918.9171,809.1226,3.485130264380132e-06,-4.2955484786944e-06,1.6008242198495282e-07
77.19,16.59,140.91,59.49959945678711,24.404464721679688,77.74352264404297,195.59,19.54,1591.609,675.28033,1918.9171,809.1226,2.5012891757825173e-09,-2.5012891757825173e-09,-8.671135276472342e-08
232.91,8.74,192.92,140.1100311279297,8.599991798400879,36.207462310791016,0.01,-0.9,922.497,651.9123,1001.0363,733.20355,1.5308731235563755e-05,-3.218327265130938e-06,1.6008254988264525e-06
265.33,42.08,100.5,212.94400024414062,8.59057903289795,27.617128372192383,217.25,20.78,1275.8169,805.44214,1448.1023,890.3037,-4.782631003763527e-05,-1.6008246461751696e-07,4.0020687208652816e-08
113.16,7.97,255.45,182.51290893554688,9.204890251159668,220.10536193847656,117.0,5.7,290.9893,977.4767,386.24527,1070.0796,-3.448028792263358e-06,4.3798630144920025e-07,-1.4991065881986287e-06
60.93,15.54,248.79,221.79501342773438,10.149751663208008,86.9468002319336,3.77,-17.38,776.77704,879.27704,1328.5294,1080.0,3.1909788958728313e-05,6.40328653389588e-06,5.4321346397046e-05
