is_hit,dist_df
1,5.353185520645987
0,60.691082987212695
1,12.246679716124376
1,12.246679716124376
1,0.8802848617073309
1,1.1439011544170654
1,16.85063682187901
1,16.85063682187901
1,4.276354439490419
1,3.1219310092996864
1,5.568097428631326
0,13.744479710160569
1,15.828076636924763
1,23.45007071335642
1,10.253610761152437
1,8.20477885929813
1,1.2877480384578845
1,1.2877480384578845
1,1.2877480384578845
1,14.816201827557258
1,7.328683840203212
1,12.257108835311335
1,0.9996660989775137
1,1.2319248055161438
1,24.726413907401977
1,15.18391364857007
1,6.386038208602372
1,6.386038208602372
1,8.160106027495155
1,0.971886171975477
1,13.499902173220455
1,14.334102509681937
0,11.655374970033513
1,15.36680935809109
0,21.90806107118449
1,5.922143245194775
1,5.922143245194775
1,11.173378964249768
1,16.809192781456808
1,13.884784731803379
1,9.34376007831943
0,13.774989343099776
1,4.36337063793259
1,4.36337063793259
1,15.791602558739292
1,6.596856141977241
0,0.4273238854192982
1,0.44421497546641575
1,1.2887955334655956
1,16.860733415788218
