body_x,body_y,body_z
359.95135498046875,359.5455017089844,12.221860885620117
359.9513244628906,359.5455322265625,12.221893310546875
359.951416015625,359.54547119140625,12.2220458984375
359.95135498046875,359.5455322265625,12.222105026245117
359.95135498046875,359.5455017089844,12.22205924987793
359.95135498046875,359.5455017089844,12.221866607666016
359.9512939453125,359.5455322265625,12.222254753112793
359.9512939453125,359.5455017089844,12.221949577331543
359.9513244628906,359.5455322265625,12.222021102905273
359.9512939453125,359.5455627441406,12.221930503845215
359.9512634277344,359.5455322265625,12.221769332885742
359.95135498046875,359.54547119140625,12.221827507019043
359.9513244628906,359.5455017089844,12.221936225891113
359.951416015625,359.5455017089844,12.222067832946777
359.9512939453125,359.5455322265625,12.221689224243164
359.95135498046875,359.54547119140625,12.22213363647461
359.9510498046875,359.54559326171875,12.221999168395996
359.95135498046875,359.5455322265625,12.22225570678711
359.95135498046875,359.5455017089844,12.22188663482666
359.9511413574219,359.5455627441406,12.22226333618164
359.9513244628906,359.5455017089844,12.222241401672363
359.95135498046875,359.5455017089844,12.222014427185059
359.95135498046875,359.5455017089844,12.221967697143555
359.9513244628906,359.5455017089844,12.2221040725708
359.95135498046875,359.5455322265625,12.221892356872559
359.95135498046875,359.5455017089844,12.22176742553711
359.9513244628906,359.5455322265625,12.22225570678711
359.9513244628906,359.5455322265625,12.222047805786133
359.9513244628906,359.5455322265625,12.221758842468262
359.9513244628906,359.5455017089844,12.22187614440918
359.9512939453125,359.5455322265625,12.221994400024414
359.95135498046875,359.5455017089844,12.22177505493164
359.9512939453125,359.5455627441406,12.221875190734863
359.9512634277344,359.5455322265625,12.22192096710205
359.95135498046875,359.5454406738281,12.221898078918457
