predicted_hit_x,predicted_hit_y,predicted_hit_z,actual_hit_x,actual_hit_y,actual_hit_z,pos_pitch,pos_yaw,turret_yaw,turret_pitch,errors
84.91020202636719,8.002197265625,69.54105377197266,83.74036,7.878637,66.75202,5.93818473815918,350.11968994140625,42.209205627441406,-5.93818473815918,3.0269633111585996
77.47747802734375,9.995259284973145,99.07588195800781,78.61403,9.210711,101.2504,358.8376159667969,355.7042236328125,8.554686546325684,1.162384033203125,2.5760037098095663
81.90247344970703,10.253668785095215,104.37062072753906,82.2573,9.444323,102.6559,359.5262451171875,357.2594909667969,8.058987617492676,0.4737548828125,1.9290437149262016
110.75028228759766,10.471616744995117,135.86671447753906,111.3332,10.34317,136.269,357.83251953125,354.7745056152344,28.943920135498047,3.196685791015625,0.7198091881282856
98.27168273925781,8.343852996826172,165.59671020507812,98.71233,8.428216,169.0134,0.1441570520401001,346.021240234375,4.687938213348389,-2.519902467727661,3.4460203538904572
80.03631591796875,8.428972244262695,170.05392456054688,78.03977,7.924977,173.9817,5.343008995056152,347.00042724609375,332.718017578125,-5.176347255706787,4.43481980598628
50.29390335083008,8.002197265625,171.17449951171875,50.38981,7.858345,171.5723,9.287684440612793,352.8484191894531,301.53338623046875,-6.806666851043701,0.43374737827133725
103.93582916259766,8.162747383117676,93.1934585571289,103.1083,7.962793,92.17587,0.45869970321655273,2.7093589305877686,30.96339225769043,2.314971923828125,1.3267527056227288
121.14544677734375,12.74608325958252,138.31893920898438,121.3408,12.57974,138.6356,0.062305279076099396,359.9893798828125,29.93533706665039,6.98260498046875,0.40756228748176504
94.8675308227539,20.00942611694336,197.00213623046875,96.48725,19.15189,198.8958,353.6524963378906,352.0768737792969,359.9818115234375,12.7288818359375,2.6353028055683465
91.74201202392578,13.438836097717285,180.12501525878906,92.87246,13.00541,181.4124,0.8470381498336792,349.3552551269531,353.10601806640625,5.775787353515625,1.7672380373609746
56.58523178100586,8.002197265625,180.3542938232422,58.30994,7.880535,179.4131,11.7991361618042,350.9549560546875,313.5123291015625,-6.127626419067383,1.9685695213662668
53.00218200683594,12.979757308959961,234.89910888671875,53.24898,12.60118,235.1871,0.06583951413631439,0.039290715008974075,39.3929328918457,7.25433349609375,0.5358814324252543
42.47770309448242,8.741938591003418,249.33682250976562,40.59413,8.467899,245.5668,0.07278092950582504,0.02383943647146225,26.6993408203125,0.183807373046875,4.223270654816585
126.71522521972656,7.859779357910156,217.6659393310547,127.385,7.775463,217.6467,6.847854137420654,9.700322151184082,139.82925415039062,-2.0209789276123047,0.6753352177704073
129.94371032714844,7.9399237632751465,232.24795532226562,129.4311,7.86094,233.2858,6.847846984863281,9.70029354095459,114.60443115234375,-3.692321300506592,1.1602281488836168
141.5118408203125,9.644630432128906,183.6573028564453,144.9827,9.0338,181.0009,357.9586486816406,10.53708553314209,147.98089599609375,4.71636962890625,4.413213500134176
75.44131469726562,11.791329383850098,154.8928680419922,77.77914,10.81438,154.1751,13.372916221618652,25.803739547729492,213.85084533691406,-6.457932472229004,2.6334479692630093
46.66227340698242,8.002197265625,209.80706787109375,46.77169,7.854023,206.4159,357.95196533203125,29.480449676513672,320.3143005371094,-2.629944324493408,3.396166535045012
136.99392700195312,8.153167724609375,186.77194213867188,138.5654,7.218806,188.5186,358.77374267578125,15.934179306030273,147.99542236328125,1.113800048828125,2.5285119933559317
124.47144317626953,8.865243911743164,179.8849334716797,127.337,8.779096,180.112,353.40966796875,30.311573028564453,149.0829315185547,-5.83601713180542,2.8758297204475474
123.83650207519531,10.506200790405273,171.63778686523438,128.6414,9.497993,168.9933,353.40966796875,30.311573028564453,155.72679138183594,-2.211315631866455,5.5764538729217
122.58221435546875,9.486494064331055,174.39056396484375,125.2796,9.425282,174.8127,356.01348876953125,31.046836853027344,153.89151000976562,-4.853386402130127,2.7309037083574355
65.77792358398438,12.457816123962402,154.3810272216797,70.12915,11.81542,154.5965,4.843783855438232,27.922340393066406,224.59925842285156,-3.32574462890625,4.403665816307038
43.07914352416992,8.002197265625,172.88063049316406,47.14364,7.775667,170.4881,8.98961067199707,28.870206832885742,261.38885498046875,-7.5687384605407715,4.721826947697162
114.17438507080078,9.629134178161621,117.89645385742188,112.779,9.391113,120.5048,359.480224609375,21.07574462890625,131.5708770751953,-4.602538585662842,2.9676966112743663
115.29496765136719,9.262794494628906,88.60588073730469,117.009,9.493517,89.85065,357.5609130859375,21.57200813293457,152.7699432373047,0.779266357421875,2.1308660877670063
103.37089538574219,8.002197265625,75.96695709228516,103.258,7.726452,79.16077,355.7581481933594,22.190242767333984,165.9678955078125,-2.2487950325012207,3.2076816720370527
116.02520751953125,9.417153358459473,88.70877075195312,119.4973,9.732443,89.58562,0.06180751696228981,0.021102411672472954,75.60370635986328,1.815582275390625,3.594954569224866
128.5511932373047,11.643316268920898,87.8390121459961,129.9143,11.67614,88.03553,0.06180456653237343,0.021103156730532646,81.21748352050781,5.56683349609375,1.3775909083504938
218.13648986816406,8.859891891479492,102.89818572998047,219.8379,8.611797,101.0669,356.47650146484375,335.3449401855469,52.18667221069336,-3.2681965827941895,2.511962367696271
182.96446228027344,25.241817474365234,111.28323364257812,185.075,24.20691,112.6806,356.4765319824219,335.3448791503906,353.6681213378906,20.811126708984375,2.7345997300775213
210.39369201660156,8.875349044799805,98.38959503173828,213.3083,8.376962,97.28947,4.533644676208496,336.5202941894531,54.1263313293457,-6.2784318923950195,3.154933347754176
