Model,MAE_y,RMSE_y,R2_y
Position Only,0.510602313715204,0.8781408333313125,0.991376372085773
Position + Distance,0.38033259972976,0.6764016716037509,0.9948835231950799
Distance Only,3.6713508342170704,8.002822848684925,0.28377731550423246
Distance + dy,0.23733863819102993,0.36337981708359307,0.9985233306211897
