Model,MAE_y,RMSE_y,R2_y
Position Only,1.0332464267576353,1.3406168473290143,0.9842558853368713
Position + Distance,0.2863302600204669,0.5257470296984748,0.9975786222135717
Distance Only,4.978906747459687,9.497897228874065,0.20975122648565003
Distance + dy,0.1576244146622737,0.35041289199371006,0.9989243547836751
